Site,SKU,Device,Color,RAM,Storage,isDefault
AE,SM-F776BLGOMEA,Galaxy Z Flip8,Mint,12GB,256GB,
AE,SM-F776BLGPMEA,Galaxy Z Flip8,Mint,12GB,512GB,O
AE,SM-F776BLIOMEA,Galaxy Z Flip8,Pink,12GB,256GB,
AE,SM-F776BLIPMEA,Galaxy Z Flip8,Pink,12GB,512GB,O
AE,SM-F776BZKOMEA,Galaxy Z Flip8,Graphite,12GB,256GB,
AE,SM-F776BZKPMEA,Galaxy Z Flip8,Graphite,12GB,512GB,
AE,SM-F776BZWOMEA,Galaxy Z Flip8,Cream,12GB,256GB,
AE,SM-F776BZWPMEA,Galaxy Z Flip8,Cream,12GB,512GB,
AE,SM-F971BLVIMEA,Galaxy Z Fold8,Lavender,12GB,256GB,
AE,SM-F971BLVOMEA,Galaxy Z Fold8,Lavender,12GB,512GB,O
AE,SM-F971BLVPMEA,Galaxy Z Fold8,Lavender,16GB,1TB,
AE,SM-F971BZGIMEA,Galaxy Z Fold8,Pistachio,12GB,256GB,
AE,SM-F971BZGOMEA,Galaxy Z Fold8,Pistachio,12GB,512GB,O
AE,SM-F971BZGPMEA,Galaxy Z Fold8,Pistachio,16GB,1TB,
AE,SM-F971BZKIMEA,Galaxy Z Fold8,Graphite,12GB,256GB,
AE,SM-F971BZKOMEA,Galaxy Z Fold8,Graphite,12GB,512GB,
AE,SM-F971BZKPMEA,Galaxy Z Fold8,Graphite,16GB,1TB,
AE,SM-F971BZWIMEA,Galaxy Z Fold8,Cream,12GB,256GB,
AE,SM-F971BZWOMEA,Galaxy Z Fold8,Cream,12GB,512GB,
AE,SM-F971BZWPMEA,Galaxy Z Fold8,Cream,16GB,1TB,
AE,SM-F976BDGIMEA,Galaxy Z Fold8 Ultra,Green Shadow,12GB,256GB,
AE,SM-F976BDGOMEA,Galaxy Z Fold8 Ultra,Green Shadow,12GB,512GB,O
AE,SM-F976BDGPMEA,Galaxy Z Fold8 Ultra,Green Shadow,16GB,1TB,
AE,SM-F976BZKIMEA,Galaxy Z Fold8 Ultra,Graphite,12GB,256GB,
AE,SM-F976BZKOMEA,Galaxy Z Fold8 Ultra,Graphite,12GB,512GB,
AE,SM-F976BZKPMEA,Galaxy Z Fold8 Ultra,Graphite,16GB,1TB,
AE,SM-F976BZVIMEA,Galaxy Z Fold8 Ultra,Violet Shadow,12GB,256GB,
AE,SM-F976BZVOMEA,Galaxy Z Fold8 Ultra,Violet Shadow,12GB,512GB,O
AE,SM-F976BZVPMEA,Galaxy Z Fold8 Ultra,Violet Shadow,16GB,1TB,
AE,SM-F976BZWIMEA,Galaxy Z Fold8 Ultra,Cream,12GB,256GB,
AE,SM-F976BZWOMEA,Galaxy Z Fold8 Ultra,Cream,12GB,512GB,
AE,SM-F976BZWPMEA,Galaxy Z Fold8 Ultra,Cream,16GB,1TB,
AE,SM-L340NZEAMEA,Galaxy Watch9,Cream,,BLUETOOTH,O
AE,SM-L340NZKAMEA,Galaxy Watch9,Graphite,,BLUETOOTH,
AE,SM-L345FZEAXSG,Galaxy Watch9,Cream,,LTE,O
AE,SM-L345FZKAXSG,Galaxy Watch9,Graphite,,LTE,
AE,SM-L350NZKAMEA,Galaxy Watch9,Graphite,,BLUETOOTH,O
AE,SM-L350NZSAMEA,Galaxy Watch9,Silver,,BLUETOOTH,
AE,SM-L355FZKAXSG,Galaxy Watch9,Graphite,,LTE,O
AE,SM-L355FZSAXSG,Galaxy Watch9,Silver,,LTE,
AE,SM-L715FZKAXSG,Galaxy Watch Ultra2,Titanium Gray,,LTE,
AE,SM-L715FZSAXSG,Galaxy Watch Ultra2,Titanium Silver,,LTE,O
AE_AR,SM-F776BLGOMEA,Galaxy Z Flip8,Mint,12GB,256GB,
AE_AR,SM-F776BLGPMEA,Galaxy Z Flip8,Mint,12GB,512GB,O
